combo,n_components,tp_pct,n_trades,n_signals_raw,hit_rate,avg_days_to_tp,avg_win_return,failure_mean,failure_median,avg_mfe,avg_mae,expected_value
vsMA75<-5 + GOLDEN,2,20,3,25,66.6667,112.5000,19.7047,4.3414,4.3414,18.5119,-4.6293,14.5836
RSI<40 + 52W<30 + RET5<-3,3,20,4,32,50.0000,92.5000,20.8339,6.2886,6.2886,16.4636,-5.1276,13.5613
RSI<35 + 52W<30 + RET20<-5,3,20,4,24,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
RSI<35 + 52W<30 + RET5<-3,3,20,4,21,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
RSI<35 + BB<10 + 52W<30,3,20,4,23,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
RSI<35 + BB<20 + 52W<30,3,20,4,26,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
52W<30 + RET20<-5 + RET5<-3,3,20,4,23,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
52W<30 + RET20<-5,2,20,4,58,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
BB<20 + 52W<30 + RET20<-5,3,20,4,35,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
BB<10 + 52W<30 + RET20<-5,3,20,4,25,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
RSI<35 + 52W<30,2,20,4,28,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
RSI<40 + 52W<30 + RET20<-5,3,20,4,37,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
RSI<35 + RSI<40 + 52W<30,3,20,4,28,50.0000,92.5000,20.8339,5.9101,5.9101,16.0626,-5.4490,13.3720
52W<30 + DD<=-15 + vsMA75<-5,3,20,3,22,33.3333,17.0000,20.4831,9.3280,9.3280,14.5197,-4.3224,13.0464
52W<30 + DD<=-15,2,20,3,26,33.3333,17.0000,20.4831,9.3280,9.3280,14.5197,-4.3224,13.0464
52W<30 + DD<=-10 + DD<=-15,3,20,3,26,33.3333,17.0000,20.4831,9.3280,9.3280,14.5197,-4.3224,13.0464
DD<=-10 + RET20<-5 + GOLDEN,3,20,2,39,50.0000,168.0000,21.1848,4.3414,4.3414,17.8959,-8.1335,12.7631
RET5<-3 + GOLDEN,2,20,3,55,66.6667,169.5000,20.1603,-2.0622,-2.0622,17.0597,-10.6907,12.7528
RSI<40 + 52W<20 + RET5<-3,3,20,3,20,33.3333,17.0000,20.4831,8.7812,8.7812,16.5604,-3.7487,12.6818
52W<20 + DD<=-10 + vsMA75<-5,3,20,3,26,33.3333,17.0000,20.4831,8.7031,8.7031,14.9664,-3.4759,12.6298
52W<30 + 52W<20 + vsMA75<-5,3,20,3,26,33.3333,17.0000,20.4831,8.7031,8.7031,14.9664,-3.4759,12.6298
52W<20 + vsMA75<-5,2,20,3,26,33.3333,17.0000,20.4831,8.7031,8.7031,14.9664,-3.4759,12.6298
RSI<40 + BB<10 + 52W<30,3,20,4,38,50.0000,92.5000,20.8339,4.3934,4.3934,15.4126,-5.9700,12.6136
RSI<40 + BB<20 + 52W<30,3,20,4,48,50.0000,92.5000,20.8339,4.3934,4.3934,15.4126,-5.9700,12.6136
RSI<40 + 52W<30,2,20,4,53,50.0000,92.5000,20.8339,4.3934,4.3934,15.4126,-5.9700,12.6136
RSI<35 + BB<10 + GOLDEN,3,20,3,20,66.6667,120.0000,19.9415,-2.1176,-2.1176,18.4420,-7.2801,12.5885
RSI<35 + BB<20 + GOLDEN,3,20,3,27,66.6667,120.0000,19.9415,-2.1176,-2.1176,18.4420,-7.2801,12.5885
RSI<35 + RSI<40 + GOLDEN,3,20,3,29,66.6667,120.0000,19.9415,-2.1176,-2.1176,18.4420,-7.2801,12.5885
RSI<35 + RET20<-5 + GOLDEN,3,20,3,26,66.6667,120.0000,19.9415,-2.1176,-2.1176,18.4420,-7.2801,12.5885
RSI<35 + GOLDEN,2,20,3,29,66.6667,120.0000,19.9415,-2.1176,-2.1176,18.4420,-7.2801,12.5885
52W<30 + DD<=-15 + RET20<-5,3,20,3,21,33.3333,17.0000,20.4831,8.5636,8.5636,15.3592,-3.6133,12.5368
DD<=-10 + vsMA75<-5 + GOLDEN,3,20,2,23,50.0000,154.0000,20.5899,4.3414,4.3414,17.5985,-6.6260,12.4657
52W<30 + DD<=-15 + vsMA75<-5,3,15,3,22,33.3333,7.0000,18.6591,9.3280,9.3280,13.9729,-4.3224,12.4384
52W<30 + DD<=-15,2,15,3,26,33.3333,7.0000,18.6591,9.3280,9.3280,13.9729,-4.3224,12.4384
52W<30 + DD<=-10 + DD<=-15,3,15,3,26,33.3333,7.0000,18.6591,9.3280,9.3280,13.9729,-4.3224,12.4384
52W<30 + 52W<20 + RET20<-5,3,20,3,23,33.3333,17.0000,20.4831,8.4027,8.4027,16.0258,-4.1772,12.4295
52W<20 + RET20<-5,2,20,3,23,33.3333,17.0000,20.4831,8.4027,8.4027,16.0258,-4.1772,12.4295
BB<10 + 52W<30 + DD<=-10,3,20,4,30,50.0000,54.0000,20.4278,3.8575,3.8575,15.1865,-4.5804,12.1427
52W<30 + vsMA25<-5,2,20,4,20,50.0000,54.0000,20.4278,3.7841,3.7841,14.8311,-4.8731,12.1060
vsMA75<-5 + GOLDEN,2,15,3,25,66.6667,107.0000,15.7622,4.3414,4.3414,15.7570,-4.6293,11.9553
