label,family,cadence,repeated,note,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
va48_0|hold|monthly|1shot,value_avg,monthly,False,,115465979.31,10.546598,0.225474,0.47902,25575709.78,0.4707,0.7461,0.7598,14.4799,0.05086,0.9288,0.7929,9155471.8,26,0,False
va96_6|hold|monthly|1shot,value_avg,monthly,False,,111427229.7,10.142723,0.221853,0.485334,24862976.88,0.4571,0.7594,0.7664,12.9956,0.049584,0.9241,0.7222,10000000.0,30,0,False
dipA|hold|monthly|1shot,dip,monthly,False,,138795681.21,12.879568,0.244362,0.553827,30969753.28,0.4412,0.7224,0.7431,18.4536,0.059363,0.9307,0.9519,10000000.0,3,0,False
dipB|hold|monthly|1shot,dip,monthly,False,,132350848.07,12.235085,0.239454,0.553827,29531704.99,0.4324,0.727,0.7476,16.379,0.056861,0.9251,0.9053,10000000.0,4,0,False
lump|hold|monthly|1shot,lump,monthly,False,,129191111.11,11.919111,0.236968,0.553827,28826666.67,0.4279,0.6984,0.7176,19.8702,0.061441,0.9482,1.0,10000000.0,1,0,False
dca96|hold|monthly|1shot,dca,monthly,False,,90828245.62,8.082825,0.201271,0.485334,20266685.05,0.4147,0.7122,0.7234,13.6596,0.048864,0.9304,0.7066,10000000.0,96,0,False
dca24|hold|monthly|1shot,dca,monthly,False,,116984661.17,10.698466,0.226806,0.553827,26103017.49,0.4095,0.693,0.7112,18.9074,0.059334,0.939,0.9278,10000000.0,24,0,False
dca48|hold|monthly|1shot,dca,monthly,False,,112806525.61,10.280653,0.223103,0.553827,25170741.88,0.4028,0.7146,0.7305,16.2887,0.054398,0.9321,0.849,10000000.0,48,0,False
dca48|hold|daily|1shot,dca,daily,False,cadence-sensitivity,111665106.9,10.166511,0.22207,0.553827,24916054.88,0.401,0.7144,0.7299,16.1753,0.05421,0.9311,0.8415,10000000.0,1008,0,False
scaled_rsi|hold|monthly|1shot,scaled,monthly,False,,71303496.82,6.13035,0.177348,0.468498,15313707.45,0.3785,0.7181,0.7248,11.0991,0.041106,0.9301,0.5646,9855516.4,150,0,False
trend100|hold|monthly|1shot,trend,monthly,False,,68722116.72,5.872212,0.173746,0.466454,14732897.42,0.3725,0.7098,0.7167,11.2064,0.040847,0.9307,0.5607,10000000.0,103,0,False
trend200|hold|daily|1shot,trend,daily,False,cadence-sensitivity,68978184.91,5.897818,0.174109,0.467816,14812956.54,0.3722,0.7114,0.7167,11.2623,0.040956,0.9297,0.5609,10000000.0,2067,0,False
trend200|hold|monthly|1shot,trend,monthly,False,,67914761.36,5.791476,0.172593,0.463778,14474882.8,0.3721,0.7077,0.7148,11.2215,0.040692,0.9314,0.5567,10000000.0,105,0,False
scaled_invvol|hold|monthly|1shot,scaled,monthly,False,,57987896.69,4.79879,0.157294,0.433799,12053657.97,0.3626,0.7044,0.7103,10.0569,0.036718,0.9321,0.494,7765197.81,150,0,False
scaled_invvol|hold|daily|1shot,scaled,daily,False,cadence-sensitivity,58227159.9,4.822716,0.15769,0.43492,12114842.53,0.3626,0.7055,0.7097,10.1078,0.036888,0.9307,0.4963,7816023.19,3032,0,False
dipA|tp100|monthly|1shot,dip,monthly,False,,16711853.87,0.671185,0.043605,0.148246,1733191.63,0.2941,0.2017,0.5992,1.2416,0.000528,0.0891,0.074,6666666.67,2,1,True
dipA|tp100|monthly|rot,dip,monthly,True,,16711853.87,0.671185,0.043605,0.148246,1733191.63,0.2941,0.2017,0.5992,1.2416,0.000528,0.0891,0.074,6666666.67,2,1,True
trend200|tp50|monthly|1shot,trend,monthly,False,,10525710.02,0.052571,0.004267,0.015678,158411.86,0.2722,0.1839,0.5562,0.1282,4.3e-05,0.0798,0.0059,1000000.0,15,1,True
trend200|tp50|monthly|rot,trend,monthly,True,,10525710.02,0.052571,0.004267,0.015678,158411.86,0.2722,0.1839,0.5562,0.1282,4.3e-05,0.0798,0.0059,1000000.0,15,1,True
trend100|tp50|monthly|1shot,trend,monthly,False,,10525710.02,0.052571,0.004267,0.015678,158411.86,0.2722,0.1839,0.5562,0.1282,4.3e-05,0.0798,0.0059,1000000.0,15,1,True
trend100|tp50|monthly|rot,trend,monthly,True,,10525710.02,0.052571,0.004267,0.015678,158411.86,0.2722,0.1839,0.5562,0.1282,4.3e-05,0.0798,0.0059,1000000.0,15,1,True
dca96|tp50|monthly|1shot,dca,monthly,False,,10821421.91,0.082142,0.006583,0.024355,247518.53,0.2703,0.1836,0.5555,0.1983,6.7e-05,0.0798,0.0091,1562500.0,15,1,True
dca96|tp50|monthly|rot,dca,monthly,True,,10821421.91,0.082142,0.006583,0.024355,247518.53,0.2703,0.1836,0.5555,0.1983,6.7e-05,0.0798,0.0091,1562500.0,15,1,True
dca48|tp50|monthly|1shot,dca,monthly,False,,11642843.83,0.164284,0.012722,0.047943,495037.05,0.2654,0.183,0.5535,0.3865,0.000131,0.0798,0.0178,3125000.0,15,1,True
dca48|tp50|monthly|rot,dca,monthly,True,,11642843.83,0.164284,0.012722,0.047943,495037.05,0.2654,0.183,0.5535,0.3865,0.000131,0.0798,0.0178,3125000.0,15,1,True
dca24|tp50|monthly|1shot,dca,monthly,False,,13285687.65,0.328569,0.023894,0.092954,990074.1,0.257,0.1821,0.5502,0.7365,0.000253,0.0798,0.0341,6250000.0,15,1,True
dca24|tp50|monthly|rot,dca,monthly,True,,13285687.65,0.328569,0.023894,0.092954,990074.1,0.257,0.1821,0.5502,0.7365,0.000253,0.0798,0.0341,6250000.0,15,1,True
scaled_invvol|tp50|monthly|1shot,scaled,monthly,False,,10423589.33,0.042359,0.003454,0.013566,136759.12,0.2546,0.18,0.5443,0.107,3.5e-05,0.0808,0.0048,799251.36,15,1,True
scaled_invvol|tp50|monthly|rot,scaled,monthly,True,,10423589.33,0.042359,0.003454,0.013566,136759.12,0.2546,0.18,0.5443,0.107,3.5e-05,0.0808,0.0048,799251.36,15,1,True
va48_0|glide12|monthly|1shot,value_avg,monthly,False,,39398024.52,2.939802,0.120707,0.47902,25575709.78,0.252,0.4742,0.5188,15.982,0.048598,0.94,0.7127,9155471.8,26,12,True
dipA|glide12|monthly|1shot,dip,monthly,False,,46684619.09,3.668462,0.136625,0.553827,30969753.28,0.2467,0.4817,0.5285,19.6932,0.057579,0.942,0.8706,10000000.0,3,12,True
mom252|momexit|monthly|rot,momentum,monthly,True,dual-momentum all-in-one,41771729.75,3.177173,0.126169,0.521752,16714552.17,0.2418,0.4223,0.5313,24.9309,0.050777,0.9677,0.6801,182130039.85,14,13,False
scaled_rsi|tp50|monthly|1shot,scaled,monthly,False,,10468059.65,0.046806,0.003809,0.015776,159539.18,0.2415,0.166,0.5104,0.1292,4.4e-05,0.0798,0.0058,894840.75,15,1,True
scaled_rsi|tp50|monthly|rot,scaled,monthly,True,,10468059.65,0.046806,0.003809,0.015776,159539.18,0.2415,0.166,0.5104,0.1292,4.4e-05,0.0798,0.0058,894840.75,15,1,True
va96_6|glide12|monthly|1shot,value_avg,monthly,False,,37479104.03,2.74791,0.116065,0.485334,24862976.88,0.2391,0.4739,0.5149,14.7028,0.047007,0.9354,0.6409,10000000.0,30,13,True
dipB|glide12|monthly|1shot,dip,monthly,False,,44516867.35,3.451687,0.132143,0.553827,29531704.99,0.2386,0.478,0.5253,17.764,0.054871,0.9363,0.824,10000000.0,4,13,True
lump|glide12|monthly|1shot,lump,monthly,False,,43454074.07,3.345407,0.129871,0.553827,28826666.67,0.2345,0.4643,0.5079,21.0264,0.059834,0.9594,0.9187,10000000.0,1,12,True
va96_6|tp50|monthly|1shot,value_avg,monthly,False,,10633900.98,0.06339,0.005121,0.022849,232270.21,0.2241,0.1596,0.4921,0.1792,6.1e-05,0.0788,0.008,1240616.31,14,1,True
va96_6|tp50|monthly|rot,value_avg,monthly,True,,10633900.98,0.06339,0.005121,0.022849,232270.21,0.2241,0.1596,0.4921,0.1792,6.1e-05,0.0788,0.008,1240616.31,14,1,True
va48_0|tp50|monthly|1shot,value_avg,monthly,False,,11197310.11,0.119731,0.009443,0.042916,442792.89,0.22,0.1591,0.4907,0.3346,0.000114,0.0788,0.015,2305333.39,14,1,True
va48_0|tp50|monthly|rot,value_avg,monthly,True,,11197310.11,0.119731,0.009443,0.042916,442792.89,0.22,0.1591,0.4907,0.3346,0.000114,0.0788,0.015,2305333.39,14,1,True
dca24|glide12|monthly|1shot,dca,monthly,False,,39348373.8,2.934837,0.120589,0.553827,26103017.49,0.2177,0.4497,0.4924,20.1191,0.057491,0.9502,0.8465,10000000.0,24,13,True
dca48|glide12|monthly|1shot,dca,monthly,False,,37943037.08,2.794304,0.117207,0.553827,25170741.88,0.2116,0.4535,0.4967,17.6807,0.052288,0.9433,0.7678,10000000.0,48,13,True
dca96|glide12|monthly|1shot,dca,monthly,False,,30550533.08,2.055053,0.097265,0.485334,20266685.05,0.2004,0.4221,0.4629,15.2929,0.046267,0.9416,0.6253,10000000.0,96,12,True
va96_6|tp100|monthly|1shot,value_avg,monthly,False,,14413259.37,0.441326,0.03085,0.174457,1912331.11,0.1768,0.2628,0.4685,3.0093,0.011017,0.2889,0.0979,4397863.93,24,1,True
va96_6|tp100|monthly|rot,value_avg,monthly,True,,14413259.37,0.441326,0.03085,0.174457,1912331.11,0.1768,0.2628,0.4685,3.0093,0.011017,0.2889,0.0979,4397863.93,24,1,True
dipA|tp50|monthly|1shot,dip,monthly,False,,13503300.77,0.35033,0.025277,0.148246,1733191.63,0.1705,0.1177,0.4007,1.1793,0.000412,0.0693,0.0518,6666666.67,2,1,True
dipA|tp50|monthly|rot,dip,monthly,True,,13503300.77,0.35033,0.025277,0.148246,1733191.63,0.1705,0.1177,0.4007,1.1793,0.000412,0.0693,0.0518,6666666.67,2,1,True
va48_0|tp100|monthly|1shot,value_avg,monthly,False,,17530848.97,0.753085,0.047764,0.287389,3393980.64,0.1662,0.2515,0.4528,5.0181,0.018611,0.2876,0.1604,7510009.05,24,1,True
va48_0|tp100|monthly|rot,value_avg,monthly,True,,17530848.97,0.753085,0.047764,0.287389,3393980.64,0.1662,0.2515,0.4528,5.0181,0.018611,0.2876,0.1604,7510009.05,24,1,True
dipB|tp50|monthly|1shot,dip,monthly,False,,11686108.17,0.168611,0.013035,0.079266,855425.95,0.1644,0.0967,0.3417,0.7726,0.000254,0.0712,0.0304,3333333.33,1,1,True
dipB|tp50|monthly|rot,dip,monthly,True,,11686108.17,0.168611,0.013035,0.079266,855425.95,0.1644,0.0967,0.3417,0.7726,0.000254,0.0712,0.0304,3333333.33,1,1,True
scaled_rsi|glide12|monthly|1shot,scaled,monthly,False,,24327638.89,1.432764,0.076689,0.468498,15313707.45,0.1637,0.3876,0.4283,12.8827,0.037581,0.9413,0.4844,9172368.02,137,13,True
dipA|trail15|monthly|1shot,dip,monthly,False,,13861398.21,0.38614,0.02751,0.170565,2850455.66,0.1613,0.1191,0.3615,15.9419,0.012363,0.97,0.085,6666666.67,2,1,True
dipA|trail15|monthly|rot,dip,monthly,True,,13861398.21,0.38614,0.02751,0.170565,2850455.66,0.1613,0.1191,0.3615,15.9419,0.012363,0.97,0.085,6666666.67,2,1,True
dipA|maexit200|monthly|1shot,dip,monthly,False,,13861398.21,0.38614,0.02751,0.170565,2850455.66,0.1613,0.1191,0.3615,15.9419,0.012363,0.97,0.085,6666666.67,2,1,True
dipA|maexit200|monthly|rot,dip,monthly,True,,13861398.21,0.38614,0.02751,0.170565,2850455.66,0.1613,0.1191,0.3615,15.9419,0.012363,0.97,0.085,6666666.67,2,1,True
dipA|maexit200b|monthly|1shot,dip,monthly,False,,13861398.21,0.38614,0.02751,0.170565,2850455.66,0.1613,0.1191,0.3615,15.9419,0.012363,0.97,0.085,6666666.67,2,1,True
dipA|maexit200b|monthly|rot,dip,monthly,True,,13861398.21,0.38614,0.02751,0.170565,2850455.66,0.1613,0.1191,0.3615,15.9419,0.012363,0.97,0.085,6666666.67,2,1,True
trend100|glide12|monthly|1shot,trend,monthly,False,,23477581.2,1.347758,0.07351,0.466454,14732897.42,0.1576,0.3774,0.4177,12.9845,0.037287,0.942,0.4806,8866666.67,91,13,True
trend200|glide12|monthly|1shot,trend,monthly,False,,23228321.15,1.322832,0.072559,0.463778,14474882.8,0.1565,0.3746,0.4148,12.9839,0.037094,0.9426,0.4767,8666666.67,93,12,True
dipB|tp100|monthly|1shot,dip,monthly,False,,20152224.22,1.015222,0.059969,0.391985,5201531.89,0.153,0.2302,0.4248,6.8815,0.027068,0.283,0.2285,10000000.0,4,1,True
dipB|tp100|monthly|rot,dip,monthly,True,,20152224.22,1.015222,0.059969,0.391985,5201531.89,0.153,0.2302,0.4248,6.8815,0.027068,0.283,0.2285,10000000.0,4,1,True
scaled_invvol|glide12|monthly|1shot,scaled,monthly,False,,21173647.01,1.117365,0.064334,0.433799,12053657.97,0.1483,0.3616,0.4018,11.7458,0.033077,0.9433,0.419,7204145.43,137,13,True
dipB|maexit200|monthly|1shot,dip,monthly,False,,11862849.06,0.186285,0.014299,0.10602,1406857.55,0.1349,0.0982,0.3052,9.9121,0.007586,0.972,0.0504,3333333.33,1,1,True
dipB|maexit200|monthly|rot,dip,monthly,True,,11862849.06,0.186285,0.014299,0.10602,1406857.55,0.1349,0.0982,0.3052,9.9121,0.007586,0.972,0.0504,3333333.33,1,1,True
dipB|maexit200b|monthly|1shot,dip,monthly,False,,11862849.06,0.186285,0.014299,0.10602,1406857.55,0.1349,0.0982,0.3052,9.9121,0.007586,0.972,0.0504,3333333.33,1,1,True
dipB|maexit200b|monthly|rot,dip,monthly,True,,11862849.06,0.186285,0.014299,0.10602,1406857.55,0.1349,0.0982,0.3052,9.9121,0.007586,0.972,0.0504,3333333.33,1,1,True
scaled_rsi|trail35|monthly|1shot,scaled,monthly,False,,19162173.89,0.916217,0.055541,0.413765,13524675.26,0.1342,0.3132,0.3677,18.0422,0.033268,0.9413,0.4224,8454906.73,128,1,True
scaled_rsi|trail35|monthly|rot,scaled,monthly,True,,19162173.89,0.916217,0.055541,0.413765,13524675.26,0.1342,0.3132,0.3677,18.0422,0.033268,0.9413,0.4224,8454906.73,128,1,True
lump|tp50|monthly|1shot,lump,monthly,False,,15048888.89,0.504889,0.034554,0.258036,2640000.0,0.1339,0.1055,0.3386,3.9677,0.000873,0.0914,0.1019,10000000.0,1,1,True
lump|tp50|monthly|rot,lump,monthly,True,,15048888.89,0.504889,0.034554,0.258036,2640000.0,0.1339,0.1055,0.3386,3.9677,0.000873,0.0914,0.1019,10000000.0,1,1,True
trend100|trail35|monthly|1shot,trend,monthly,False,,18519961.09,0.851996,0.052554,0.413645,13064906.97,0.1271,0.3021,0.3552,18.0977,0.033008,0.942,0.4191,8466666.67,90,1,True
trend100|trail35|monthly|rot,trend,monthly,True,,18519961.09,0.851996,0.052554,0.413645,13064906.97,0.1271,0.3021,0.3552,18.0977,0.033008,0.942,0.4191,8466666.67,90,1,True
trend200|trail35|monthly|1shot,trend,monthly,False,,18288530.91,0.828853,0.051455,0.414032,12922278.97,0.1243,0.298,0.3508,18.1258,0.032835,0.9426,0.4152,8533333.33,91,1,True
trend200|trail35|monthly|rot,trend,monthly,True,,18288530.91,0.828853,0.051455,0.414032,12922278.97,0.1243,0.298,0.3508,18.1258,0.032835,0.9426,0.4152,8533333.33,91,1,True
dca96|tp100|monthly|1shot,dca,monthly,False,,18918978.43,0.891898,0.054421,0.459352,6671910.15,0.1185,0.2957,0.4054,8.2632,0.025921,0.5221,0.2738,8854166.67,85,1,True
dca96|tp100|monthly|rot,dca,monthly,True,,18918978.43,0.891898,0.054421,0.459352,6671910.15,0.1185,0.2957,0.4054,8.2632,0.025921,0.5221,0.2738,8854166.67,85,1,True
scaled_invvol|trail35|monthly|1shot,scaled,monthly,False,,17095068.78,0.709507,0.045574,0.384765,10691183.35,0.1184,0.2881,0.3403,16.6097,0.029046,0.9433,0.3629,6816015.41,128,1,True
scaled_invvol|trail35|monthly|rot,scaled,monthly,True,,17095068.78,0.709507,0.045574,0.384765,10691183.35,0.1184,0.2881,0.3403,16.6097,0.029046,0.9433,0.3629,6816015.41,128,1,True
trend200|tp100|monthly|1shot,trend,monthly,False,,15739968.37,0.573997,0.038421,0.325058,4116182.99,0.1182,0.2963,0.4083,5.8909,0.016967,0.5237,0.1802,5666666.67,58,1,True
trend200|tp100|monthly|rot,trend,monthly,True,,15739968.37,0.573997,0.038421,0.325058,4116182.99,0.1182,0.2963,0.4083,5.8909,0.016967,0.5237,0.1802,5666666.67,58,1,True
scaled_rsi|tp100|monthly|1shot,scaled,monthly,False,,15852116.36,0.585212,0.039034,0.330181,4279441.75,0.1182,0.296,0.4067,5.6727,0.017303,0.5224,0.184,5601735.35,85,1,True
scaled_rsi|tp100|monthly|rot,scaled,monthly,True,,15852116.36,0.585212,0.039034,0.330181,4279441.75,0.1182,0.296,0.4067,5.6727,0.017303,0.5224,0.184,5601735.35,85,1,True
trend100|tp100|monthly|1shot,trend,monthly,False,,15754627.52,0.575463,0.038502,0.32662,4165919.41,0.1179,0.294,0.4052,5.8848,0.017182,0.5231,0.1833,5666666.67,62,1,True
trend100|tp100|monthly|rot,trend,monthly,True,,15754627.52,0.575463,0.038502,0.32662,4165919.41,0.1179,0.294,0.4052,5.8848,0.017182,0.5231,0.1833,5666666.67,62,1,True
scaled_invvol|tp100|monthly|1shot,scaled,monthly,False,,14796263.49,0.479626,0.033099,0.286681,3523909.65,0.1155,0.2919,0.4024,5.0161,0.014616,0.5244,0.1541,4713589.49,85,1,True
scaled_invvol|tp100|monthly|rot,scaled,monthly,True,,14796263.49,0.479626,0.033099,0.286681,3523909.65,0.1155,0.2919,0.4024,5.0161,0.014616,0.5244,0.1541,4713589.49,85,1,True
lump|tp100|monthly|1shot,lump,monthly,False,,20062222.22,1.006222,0.059575,0.525696,8728888.89,0.1133,0.1989,0.3648,13.1874,0.039211,0.3061,0.3235,10000000.0,1,1,True
lump|tp100|monthly|rot,lump,monthly,True,,20062222.22,1.006222,0.059575,0.525696,8728888.89,0.1133,0.1989,0.3648,13.1874,0.039211,0.3061,0.3235,10000000.0,1,1,True
dca24|tp100|monthly|1shot,dca,monthly,False,,20122585.18,1.012259,0.05984,0.553827,10600577.87,0.108,0.2466,0.3482,15.425,0.046212,0.5224,0.4802,10000000.0,24,1,True
dca24|tp100|monthly|rot,dca,monthly,True,,20122585.18,1.012259,0.05984,0.553827,10600577.87,0.108,0.2466,0.3482,15.425,0.046212,0.5224,0.4802,10000000.0,24,1,True
dca48|tp100|monthly|1shot,dca,monthly,False,,20102442.64,1.010244,0.059752,0.553827,10221975.66,0.1079,0.2603,0.3661,12.0732,0.037916,0.5158,0.4025,10000000.0,48,1,True
dca48|tp100|monthly|rot,dca,monthly,True,,20102442.64,1.010244,0.059752,0.553827,10221975.66,0.1079,0.2603,0.3661,12.0732,0.037916,0.5158,0.4025,10000000.0,48,1,True
va48_0|maexit200|monthly|1shot,value_avg,monthly,False,,10897336.33,0.089734,0.007168,0.077257,912385.66,0.0928,0.0855,0.2632,7.2083,0.003986,0.9772,0.0272,2501664.78,16,1,True
va48_0|maexit200|monthly|rot,value_avg,monthly,True,,10897336.33,0.089734,0.007168,0.077257,912385.66,0.0928,0.0855,0.2632,7.2083,0.003986,0.9772,0.0272,2501664.78,16,1,True
va48_0|maexit200b|monthly|1shot,value_avg,monthly,False,,10897336.33,0.089734,0.007168,0.077257,912385.66,0.0928,0.0855,0.2632,7.2083,0.003986,0.9772,0.0272,2501664.78,16,1,True
va48_0|maexit200b|monthly|rot,value_avg,monthly,True,,10897336.33,0.089734,0.007168,0.077257,912385.66,0.0928,0.0855,0.2632,7.2083,0.003986,0.9772,0.0272,2501664.78,16,1,True
lump|maexit200|monthly|1shot,lump,monthly,False,,13066666.67,0.306667,0.02248,0.258036,3537777.78,0.0871,0.0785,0.2317,20.2508,0.021031,0.9852,0.1326,10000000.0,1,1,True
lump|maexit200|monthly|rot,lump,monthly,True,,13066666.67,0.306667,0.02248,0.258036,3537777.78,0.0871,0.0785,0.2317,20.2508,0.021031,0.9852,0.1326,10000000.0,1,1,True
lump|maexit200b|monthly|1shot,lump,monthly,False,,13066666.67,0.306667,0.02248,0.258036,3537777.78,0.0871,0.0785,0.2317,20.2508,0.021031,0.9852,0.1326,10000000.0,1,1,True
lump|maexit200b|monthly|rot,lump,monthly,True,,13066666.67,0.306667,0.02248,0.258036,3537777.78,0.0871,0.0785,0.2317,20.2508,0.021031,0.9852,0.1326,10000000.0,1,1,True
va96_6|maexit200|monthly|1shot,value_avg,monthly,False,,10461980.06,0.046198,0.003761,0.045583,499666.72,0.0825,0.0776,0.2418,4.2521,0.002208,0.9772,0.0151,1410847.34,16,1,True
va96_6|maexit200|monthly|rot,value_avg,monthly,True,,10461980.06,0.046198,0.003761,0.045583,499666.72,0.0825,0.0776,0.2418,4.2521,0.002208,0.9772,0.0151,1410847.34,16,1,True
va96_6|maexit200b|monthly|1shot,value_avg,monthly,False,,10461980.06,0.046198,0.003761,0.045583,499666.72,0.0825,0.0776,0.2418,4.2521,0.002208,0.9772,0.0151,1410847.34,16,1,True
va96_6|maexit200b|monthly|rot,value_avg,monthly,True,,10461980.06,0.046198,0.003761,0.045583,499666.72,0.0825,0.0776,0.2418,4.2521,0.002208,0.9772,0.0151,1410847.34,16,1,True
dipA|volx45|monthly|rot,dip,monthly,True,,14250851.42,0.425085,0.029879,0.393553,5742406.51,0.0759,0.1787,0.2526,18.1879,0.030524,0.9753,0.4015,308143633.31,54,47,False
dca24|trail15|monthly|1shot,dca,monthly,False,,11819371.65,0.181937,0.01399,0.18663,2711982.7,0.075,0.0765,0.2388,17.4092,0.009183,0.9772,0.0621,8333333.33,20,1,True
dca24|trail15|monthly|rot,dca,monthly,True,,11819371.65,0.181937,0.01399,0.18663,2711982.7,0.075,0.0765,0.2388,17.4092,0.009183,0.9772,0.0621,8333333.33,20,1,True
dca24|maexit200|monthly|1shot,dca,monthly,False,,11819371.65,0.181937,0.01399,0.18663,2711982.7,0.075,0.0765,0.2388,17.4092,0.009183,0.9772,0.0621,8333333.33,20,1,True
dca24|maexit200|monthly|rot,dca,monthly,True,,11819371.65,0.181937,0.01399,0.18663,2711982.7,0.075,0.0765,0.2388,17.4092,0.009183,0.9772,0.0621,8333333.33,20,1,True
dca24|maexit200b|monthly|1shot,dca,monthly,False,,11819371.65,0.181937,0.01399,0.18663,2711982.7,0.075,0.0765,0.2388,17.4092,0.009183,0.9772,0.0621,8333333.33,20,1,True
dca24|maexit200b|monthly|rot,dca,monthly,True,,11819371.65,0.181937,0.01399,0.18663,2711982.7,0.075,0.0765,0.2388,17.4092,0.009183,0.9772,0.0621,8333333.33,20,1,True
dipB|volx45|monthly|rot,dip,monthly,True,,12324463.77,0.232446,0.017523,0.250866,3626693.36,0.0698,0.1363,0.2036,12.4909,0.020625,0.9766,0.251,194652780.11,46,42,False
dca48|maexit200|daily|rot,dca,daily,True,cadence-sensitivity,10892953.55,0.089295,0.007134,0.106737,1301612.58,0.0668,0.0685,0.2171,9.9537,0.004694,0.9763,0.0318,3998015.87,403,1,True
dca48|maexit200|monthly|1shot,dca,monthly,False,,10909685.83,0.090969,0.007263,0.110552,1355991.35,0.0657,0.0668,0.2115,10.3104,0.005029,0.9772,0.034,4166666.67,20,1,True
dca48|maexit200|monthly|rot,dca,monthly,True,,10909685.83,0.090969,0.007263,0.110552,1355991.35,0.0657,0.0668,0.2115,10.3104,0.005029,0.9772,0.034,4166666.67,20,1,True
dca48|maexit200b|monthly|1shot,dca,monthly,False,,10909685.83,0.090969,0.007263,0.110552,1355991.35,0.0657,0.0668,0.2115,10.3104,0.005029,0.9772,0.034,4166666.67,20,1,True
dca48|maexit200b|monthly|rot,dca,monthly,True,,10909685.83,0.090969,0.007263,0.110552,1355991.35,0.0657,0.0668,0.2115,10.3104,0.005029,0.9772,0.034,4166666.67,20,1,True
scaled_rsi|maexit200|monthly|1shot,scaled,monthly,False,,10296835.45,0.029684,0.002434,0.037476,400904.4,0.065,0.064,0.2033,3.495,0.001681,0.9776,0.0113,1205120.39,20,1,True
scaled_rsi|maexit200|monthly|rot,scaled,monthly,True,,10296835.45,0.029684,0.002434,0.037476,400904.4,0.065,0.064,0.2033,3.495,0.001681,0.9776,0.0113,1205120.39,20,1,True
scaled_rsi|maexit200b|monthly|1shot,scaled,monthly,False,,10296835.45,0.029684,0.002434,0.037476,400904.4,0.065,0.064,0.2033,3.495,0.001681,0.9776,0.0113,1205120.39,20,1,True
scaled_rsi|maexit200b|monthly|rot,scaled,monthly,True,,10296835.45,0.029684,0.002434,0.037476,400904.4,0.065,0.064,0.2033,3.495,0.001681,0.9776,0.0113,1205120.39,20,1,True
dipA|trail25|monthly|1shot,dip,monthly,False,,12242745.51,0.224275,0.01696,0.267421,4469108.36,0.0634,0.074,0.2279,24.9182,0.013889,0.97,0.0881,10000000.0,3,1,True
dipA|trail25|monthly|rot,dip,monthly,True,,12242745.51,0.224275,0.01696,0.267421,4469108.36,0.0634,0.074,0.2279,24.9182,0.013889,0.97,0.0881,10000000.0,3,1,True
dipB|trail15|monthly|1shot,dip,monthly,False,,11234071.8,0.123407,0.009719,0.153405,2035634.81,0.0634,0.0652,0.2043,14.3031,0.008335,0.972,0.052,6666666.67,2,1,True
dipB|trail15|monthly|rot,dip,monthly,True,,11234071.8,0.123407,0.009719,0.153405,2035634.81,0.0634,0.0652,0.2043,14.3031,0.008335,0.972,0.052,6666666.67,2,1,True
dca96|maexit200|monthly|1shot,dca,monthly,False,,10454842.91,0.045484,0.003704,0.060901,677995.68,0.0608,0.0613,0.1956,5.6792,0.002649,0.9772,0.0179,2083333.33,20,1,True
dca96|maexit200|monthly|rot,dca,monthly,True,,10454842.91,0.045484,0.003704,0.060901,677995.68,0.0608,0.0613,0.1956,5.6792,0.002649,0.9772,0.0179,2083333.33,20,1,True
dca96|maexit200b|monthly|1shot,dca,monthly,False,,10454842.91,0.045484,0.003704,0.060901,677995.68,0.0608,0.0613,0.1956,5.6792,0.002649,0.9772,0.0179,2083333.33,20,1,True
dca96|maexit200b|monthly|rot,dca,monthly,True,,10454842.91,0.045484,0.003704,0.060901,677995.68,0.0608,0.0613,0.1956,5.6792,0.002649,0.9772,0.0179,2083333.33,20,1,True
trend200|maexit200|daily|rot,trend,daily,True,cadence-sensitivity,10296865.82,0.029687,0.002434,0.04033,432726.08,0.0604,0.0619,0.1957,3.7606,0.001676,0.9763,0.0114,1325857.52,402,1,True
trend200|maexit200|monthly|1shot,trend,monthly,False,,10291099.46,0.02911,0.002388,0.040458,433917.23,0.059,0.0592,0.1894,3.7728,0.00173,0.9772,0.0117,1333333.33,20,1,True
