date,selected_params,training_score,training_net_profit,training_max_drawdown,training_max_unrealized_loss,training_margin_call_count
2020-07-13,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1006798.9054957298,-306358.74001765926,488172.87178461254,512707.4591715286,0
2020-07-14,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1022514.23063921,-322074.0651611395,488172.87178461254,512707.4591715286,0
2020-07-15,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1018201.7286538563,-317761.5631757858,488172.87178461254,512707.4591715286,0
2020-07-16,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1008993.2684778946,-308553.102999824,488172.87178461254,512707.4591715286,0
2020-07-17,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1017050.5159374706,-316610.3504594001,488172.87178461254,512707.4591715286,0
2020-07-20,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-991897.5964353862,-291457.4309573156,488172.87178461254,512707.4591715286,0
2020-07-21,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-987412.2108706157,-286972.0453925451,488172.87178461254,512707.4591715286,0
2020-07-22,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1013241.6713034813,-312801.5058254107,488172.87178461254,512707.4591715286,0
2020-07-23,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1032966.6209855138,-332526.4555074432,488172.87178461254,512707.4591715286,0
2020-07-24,"{""base_buy_amount"": 54275.118692676166, ""max_daily_buy_amount"": 1077795.7500210647, ""score_threshold"": 0.7091495974575888, ""score_scale"": 0.6332328010787595, ""w_drawdown"": 2.0067777877669397, ""w_rsi"": 4.478174406918484, ""w_ma_gap_25"": 3.3580640442792937, ""w_ret_5"": 1.1882918168029866, ""w_trend"": 2.116686777791476, ""w_vol"": 1.7401571170475716, ""w_exposure"": 8.533446711440595, ""w_unrealized_loss"": 2.989436511189055, ""fixed_profit_yen"": 30745.051791508, ""base_take_profit_pct"": 0.013114321896939353, ""min_take_profit_pct"": 0.0034734254567956035, ""exposure_tp_sensitivity"": 0.7979018059546823, ""vol_tp_multiplier"": 0.9379684096974567}",-1014376.5664821041,-313936.4010040337,488172.87178461254,512707.4591715286,0
