date,selected_params,training_score,training_net_profit,training_max_drawdown,training_max_unrealized_loss,training_margin_call_count
2015-08-19,"{""base_buy_amount"": 654587.925002388, ""max_daily_buy_amount"": 1187584.984921411, ""score_threshold"": -1.4194789813398012, ""score_scale"": 4.757110041011428, ""w_drawdown"": 1.5067131625735897, ""w_rsi"": 2.8900860790377108, ""w_ma_gap_25"": 3.498879722945331, ""w_ret_5"": 3.2461657762265443, ""w_trend"": 2.643566458173111, ""w_vol"": 0.74219494960029, ""w_exposure"": 5.083527384469421, ""w_unrealized_loss"": 4.04034390740766, ""fixed_profit_yen"": 25285.93028568305, ""base_take_profit_pct"": 0.0053380907335368495, ""min_take_profit_pct"": 0.002206851488854888, ""exposure_tp_sensitivity"": 0.25026799120313165, ""vol_tp_multiplier"": 1.5235230188041564}",1354185.0293925088,1720650.3716911739,361702.2358576041,371228.44873972604,0
2015-08-26,"{""base_buy_amount"": 100712.83599581663, ""max_daily_buy_amount"": 1223173.2506108454, ""score_threshold"": 0.7228581071980256, ""score_scale"": 2.271337055744127, ""w_drawdown"": 1.589955484760247, ""w_rsi"": 2.5226311851111505, ""w_ma_gap_25"": 4.375024711173043, ""w_ret_5"": 4.25565813411103, ""w_trend"": -2.7391496279232483, ""w_vol"": 0.9074920479826204, ""w_exposure"": 2.36744871104396, ""w_unrealized_loss"": 2.493875758322118, ""fixed_profit_yen"": 29847.934631910317, ""base_take_profit_pct"": 0.013655347919689382, ""min_take_profit_pct"": 0.001443287079348346, ""exposure_tp_sensitivity"": 0.33625272461361444, ""vol_tp_multiplier"": 2.6187647435881862}",-12234.22910193981,29190.884680696618,41777.83478445094,41072.392780821916,0
2015-09-02,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-11071.564469215735,8858.54722872054,23701.171053406782,16159.052342465766,0
2015-09-09,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-46682.97219524324,-9137.92471648494,41697.642998612486,33392.45195890411,0
2015-09-16,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-31454.335790373374,6090.711688384923,41697.642998612486,33392.45195890411,0
2015-09-28,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-39773.803211920036,-776.7617362726123,42939.425375952385,35054.65757534246,0
2015-10-05,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-60289.61299274176,-2100.877818464396,62131.11907458212,54246.3512739726,0
2015-10-13,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-35593.70848825751,22595.026686019854,62131.11907458212,54246.3512739726,0
2015-10-20,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-46063.23588551778,12125.499288759578,62131.11907458212,54246.3512739726,0
2015-10-27,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-22456.16488002395,35732.57029425341,62131.11907458212,54246.3512739726,0
