date,selected_params,training_score,training_net_profit,training_max_drawdown,training_max_unrealized_loss,training_margin_call_count
2015-08-19,"{""base_buy_amount"": 842972.281110589, ""max_daily_buy_amount"": 395939.5748517008, ""score_threshold"": 0.13959261190348204, ""score_scale"": 4.620851860454193, ""w_drawdown"": 2.837240567746617, ""w_rsi"": 1.9861665073641204, ""w_ma_gap_25"": 2.225080274269961, ""w_ret_5"": 0.3155858535193551, ""w_trend"": 2.812513928169593, ""w_vol"": 1.553270925405414, ""w_exposure"": 1.8936349167285382, ""w_unrealized_loss"": 2.860473018403953, ""fixed_profit_yen"": 48325.54015989951, ""base_take_profit_pct"": 0.004640009497664196, ""min_take_profit_pct"": 0.004640009497664196, ""exposure_tp_sensitivity"": 0.637059504961303, ""vol_tp_multiplier"": 4.150095895795141}",1416052.5615806216,1974349.068540829,595054.2815642506,521538.7323561644,0
2015-08-20,"{""base_buy_amount"": 654587.925002388, ""max_daily_buy_amount"": 1187584.984921411, ""score_threshold"": -1.4194789813398012, ""score_scale"": 4.757110041011428, ""w_drawdown"": 1.5067131625735897, ""w_rsi"": 2.8900860790377108, ""w_ma_gap_25"": 3.498879722945331, ""w_ret_5"": 3.2461657762265443, ""w_trend"": 2.643566458173111, ""w_vol"": 0.74219494960029, ""w_exposure"": 5.083527384469421, ""w_unrealized_loss"": 4.04034390740766, ""fixed_profit_yen"": 25285.93028568305, ""base_take_profit_pct"": 0.0053380907335368495, ""min_take_profit_pct"": 0.002206851488854888, ""exposure_tp_sensitivity"": 0.25026799120313165, ""vol_tp_multiplier"": 1.5235230188041564}",1210241.034036351,1576706.3763350095,361702.23585759103,371228.44873972604,0
2015-08-21,"{""base_buy_amount"": 654587.925002388, ""max_daily_buy_amount"": 1187584.984921411, ""score_threshold"": -1.4194789813398012, ""score_scale"": 4.757110041011428, ""w_drawdown"": 1.5067131625735897, ""w_rsi"": 2.8900860790377108, ""w_ma_gap_25"": 3.498879722945331, ""w_ret_5"": 3.2461657762265443, ""w_trend"": 2.643566458173111, ""w_vol"": 0.74219494960029, ""w_exposure"": 5.083527384469421, ""w_unrealized_loss"": 4.04034390740766, ""fixed_profit_yen"": 25285.93028568305, ""base_take_profit_pct"": 0.0053380907335368495, ""min_take_profit_pct"": 0.002206851488854888, ""exposure_tp_sensitivity"": 0.25026799120313165, ""vol_tp_multiplier"": 1.5235230188041564}",1118124.1069678578,1484589.4492665164,361702.23585759103,371228.44873972604,0
2015-08-24,"{""base_buy_amount"": 886361.2851213076, ""max_daily_buy_amount"": 1118780.784911613, ""score_threshold"": 0.4871681194430262, ""score_scale"": 1.7293423617539436, ""w_drawdown"": 0.25259848186002576, ""w_rsi"": 2.972838044454322, ""w_ma_gap_25"": 1.473775966013815, ""w_ret_5"": 3.3181052333017598, ""w_trend"": 2.0174710610556073, ""w_vol"": 0.09080271957182029, ""w_exposure"": 5.957137746857274, ""w_unrealized_loss"": 2.3128053968685225, ""fixed_profit_yen"": 44072.75940147867, ""base_take_profit_pct"": 0.009102606183731196, ""min_take_profit_pct"": 0.006496931199118765, ""exposure_tp_sensitivity"": 0.49818675608065033, ""vol_tp_multiplier"": 1.9808325002962446}",574914.7086808375,1099662.2956111499,539021.7852304876,510473.388630137,0
2015-08-25,"{""base_buy_amount"": 764712.4687118751, ""max_daily_buy_amount"": 1057939.3483425463, ""score_threshold"": 1.0010639517929323, ""score_scale"": 2.5910583703579833, ""w_drawdown"": 1.839521701109088, ""w_rsi"": 1.0959460823931617, ""w_ma_gap_25"": 1.041896707175075, ""w_ret_5"": 3.75745405285698, ""w_trend"": -2.2865379117962368, ""w_vol"": 0.42991175055472564, ""w_exposure"": 1.7629136502213016, ""w_unrealized_loss"": 1.7534651145392188, ""fixed_profit_yen"": 41686.05827192429, ""base_take_profit_pct"": 0.013158185457277946, ""min_take_profit_pct"": 0.009913496116244341, ""exposure_tp_sensitivity"": 0.12349013201155115, ""vol_tp_multiplier"": 3.267699128468217}",141950.76039120252,259515.61259519233,120686.1072025001,114443.59720547951,0
2015-08-26,"{""base_buy_amount"": 219519.67373073936, ""max_daily_buy_amount"": 479129.7865090317, ""score_threshold"": 1.4359314422308551, ""score_scale"": 4.60662234863869, ""w_drawdown"": 1.060737037616507, ""w_rsi"": 2.3490044408741397, ""w_ma_gap_25"": 3.667474522814149, ""w_ret_5"": 4.391828669054008, ""w_trend"": -0.7256838297761687, ""w_vol"": 2.585097434247146, ""w_exposure"": 7.417164105197349, ""w_unrealized_loss"": 7.3113597665279535, ""fixed_profit_yen"": 39799.12611122599, ""base_take_profit_pct"": 0.017958146921962737, ""min_take_profit_pct"": 0.001941535871242977, ""exposure_tp_sensitivity"": 0.8135759617902361, ""vol_tp_multiplier"": 4.327862696605141}",15803.41625748021,107159.4325031411,96323.59068310261,86388.44180821917,0
2015-08-27,"{""base_buy_amount"": 282556.67647263815, ""max_daily_buy_amount"": 406382.71941865585, ""score_threshold"": 1.7600760432300588, ""score_scale"": 4.49594972872511, ""w_drawdown"": 3.8867935666384614, ""w_rsi"": 2.588307606438645, ""w_ma_gap_25"": 2.4530395775593594, ""w_ret_5"": 2.6487283309124896, ""w_trend"": 0.21940808146253588, ""w_vol"": 2.172815423488452, ""w_exposure"": 1.3175483289206746, ""w_unrealized_loss"": 1.2566385286853599, ""fixed_profit_yen"": 47755.736644747114, ""base_take_profit_pct"": 0.015496861268417815, ""min_take_profit_pct"": 0.009578849724146701, ""exposure_tp_sensitivity"": 0.147219189939099, ""vol_tp_multiplier"": 2.772082760199668}",74872.83268045096,179795.2323599453,106629.70094802976,103215.09841095895,0
2015-08-28,"{""base_buy_amount"": 764712.4687118751, ""max_daily_buy_amount"": 1057939.3483425463, ""score_threshold"": 1.0010639517929323, ""score_scale"": 2.5910583703579833, ""w_drawdown"": 1.839521701109088, ""w_rsi"": 1.0959460823931617, ""w_ma_gap_25"": 1.041896707175075, ""w_ret_5"": 3.75745405285698, ""w_trend"": -2.2865379117962368, ""w_vol"": 0.42991175055472564, ""w_exposure"": 1.7629136502213016, ""w_unrealized_loss"": 1.7534651145392188, ""fixed_profit_yen"": 41686.05827192429, ""base_take_profit_pct"": 0.013158185457277946, ""min_take_profit_pct"": 0.009913496116244341, ""exposure_tp_sensitivity"": 0.12349013201155115, ""vol_tp_multiplier"": 3.267699128468217}",93837.83960058211,335003.62057169847,244287.03596962988,238044.52597260283,0
2015-08-31,"{""base_buy_amount"": 764712.4687118751, ""max_daily_buy_amount"": 1057939.3483425463, ""score_threshold"": 1.0010639517929323, ""score_scale"": 2.5910583703579833, ""w_drawdown"": 1.839521701109088, ""w_rsi"": 1.0959460823931617, ""w_ma_gap_25"": 1.041896707175075, ""w_ret_5"": 3.75745405285698, ""w_trend"": -2.2865379117962368, ""w_vol"": 0.42991175055472564, ""w_exposure"": 1.7629136502213016, ""w_unrealized_loss"": 1.7534651145392188, ""fixed_profit_yen"": 41686.05827192429, ""base_take_profit_pct"": 0.013158185457277946, ""min_take_profit_pct"": 0.009913496116244341, ""exposure_tp_sensitivity"": 0.12349013201155115, ""vol_tp_multiplier"": 3.267699128468217}",284294.40042249986,525460.1813936163,244287.03596962988,238044.52597260283,0
2015-09-01,"{""base_buy_amount"": 764712.4687118751, ""max_daily_buy_amount"": 1057939.3483425463, ""score_threshold"": 1.0010639517929323, ""score_scale"": 2.5910583703579833, ""w_drawdown"": 1.839521701109088, ""w_rsi"": 1.0959460823931617, ""w_ma_gap_25"": 1.041896707175075, ""w_ret_5"": 3.75745405285698, ""w_trend"": -2.2865379117962368, ""w_vol"": 0.42991175055472564, ""w_exposure"": 1.7629136502213016, ""w_unrealized_loss"": 1.7534651145392188, ""fixed_profit_yen"": 41686.05827192429, ""base_take_profit_pct"": 0.013158185457277946, ""min_take_profit_pct"": 0.009913496116244341, ""exposure_tp_sensitivity"": 0.12349013201155115, ""vol_tp_multiplier"": 3.267699128468217}",162704.35003185613,403870.1310029725,244287.03596962988,238044.52597260283,0
