date,selected_params,training_score,training_net_profit,training_max_drawdown,training_max_unrealized_loss,training_margin_call_count
2015-08-19,"{""base_buy_amount"": 654587.925002388, ""max_daily_buy_amount"": 1187584.984921411, ""score_threshold"": -1.4194789813398012, ""score_scale"": 4.757110041011428, ""w_drawdown"": 1.5067131625735897, ""w_rsi"": 2.8900860790377108, ""w_ma_gap_25"": 3.498879722945331, ""w_ret_5"": 3.2461657762265443, ""w_trend"": 2.643566458173111, ""w_vol"": 0.74219494960029, ""w_exposure"": 5.083527384469421, ""w_unrealized_loss"": 4.04034390740766, ""fixed_profit_yen"": 25285.93028568305, ""base_take_profit_pct"": 0.0053380907335368495, ""min_take_profit_pct"": 0.002206851488854888, ""exposure_tp_sensitivity"": 0.25026799120313165, ""vol_tp_multiplier"": 1.5235230188041564}",987719.6870938567,1720650.3716911739,361702.23585759103,371228.44873972604,0
2015-09-17,"{""base_buy_amount"": 130571.01167397494, ""max_daily_buy_amount"": 749661.1832367547, ""score_threshold"": 0.8705565905662702, ""score_scale"": 4.133442226893267, ""w_drawdown"": 4.993716850333824, ""w_rsi"": 1.4818102850558246, ""w_ma_gap_25"": 2.039709755656411, ""w_ret_5"": 0.6841063901481315, ""w_trend"": 0.44923157773820144, ""w_vol"": 4.987900186314586, ""w_exposure"": 7.008810101206585, ""w_unrealized_loss"": 5.952128404133718, ""fixed_profit_yen"": 21441.347367324317, ""base_take_profit_pct"": 0.027628365287995532, ""min_take_profit_pct"": 0.005472249365173145, ""exposure_tp_sensitivity"": 0.12093022198175535, ""vol_tp_multiplier"": 1.8268923159956674}",-61555.746020510676,12359.337972426743,38000.598280608654,35914.485712328766,0
2015-10-22,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-90801.05927897416,25576.411069581496,62131.11907458305,54246.3512739726,0
2015-11-24,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-72479.4961053721,43897.97424318355,62131.11907458305,54246.3512739726,0
2015-12-24,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-68436.35573192482,47941.11461663083,62131.11907458305,54246.3512739726,0
2016-01-27,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-703340.7121110577,-89967.79486807737,258497.00124298036,254875.91599999997,0
2016-02-26,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-860219.2799132066,-103306.2734969034,331464.1873615086,325448.8190547945,0
2016-03-29,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-766219.6887373354,-9306.682321032204,331464.1873615086,325448.8190547945,0
2016-04-27,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-903541.5235260086,103371.48289029454,331464.1873615086,325448.8190547945,0
2016-06-01,"{""base_buy_amount"": 151098.55527781372, ""max_daily_buy_amount"": 1998298.9879010534, ""score_threshold"": 0.6627389444261476, ""score_scale"": 3.4255625700145864, ""w_drawdown"": 0.45220363492066373, ""w_rsi"": 4.4851669944831265, ""w_ma_gap_25"": 0.14499751602234712, ""w_ret_5"": 1.2041402902057352, ""w_trend"": -2.14186874900019, ""w_vol"": 3.883839703461093, ""w_exposure"": 1.9820422721289788, ""w_unrealized_loss"": 9.106382271308853, ""fixed_profit_yen"": 33844.64484839204, ""base_take_profit_pct"": 0.003012555893851494, ""min_take_profit_pct"": 0.0010488685071583042, ""exposure_tp_sensitivity"": 0.046492125312959036, ""vol_tp_multiplier"": 3.0296258882386384}",-918499.8386260627,88413.16779024043,331464.1873615086,325448.8190547945,0
