slippage_bps,annual_margin_interest_rate,net_realized_after_tax,final_equity,max_drawdown_equity,max_unrealized_loss,min_maintenance_ratio,forced_liquidations
2.0,0.015,10216663.20031615,110216663.20031615,5251159.435647488,5273659.461479452,9.771493730844657,0
2.0,0.028,9988026.162517307,109988026.16251731,5256961.116209686,5281310.919561644,9.75888379905126,0
2.0,0.04,9801859.064884402,109801859.0648844,5475549.654165879,5506571.397780819,9.75303959210428,0
2.0,0.06,9606488.239633413,109606488.23963341,5587799.31555514,5650980.396369862,9.74218229229694,0
5.0,0.015,10121229.169562845,110121229.16956285,5248883.7051974535,5270975.769657534,9.769747601581035,0
5.0,0.028,9909764.388843749,109909764.38884374,5254676.450129509,5278608.390027397,9.757060826893564,0
5.0,0.04,9698716.943144713,109698716.94314471,5473252.572018534,5503968.82458904,9.748474266830348,0
5.0,0.06,9507081.30103014,109507081.30103014,5553156.723843366,5607518.448664383,9.738235791614503,0
10.0,0.015,9904496.621473432,109904496.62147343,5255224.6716848165,5276834.669657531,9.762475660880545,0
10.0,0.028,9709880.307955468,109709880.30795547,5309731.3843977,5333705.222191778,9.749983773102262,0
10.0,0.04,9526249.457992112,109526249.4579921,5479132.801088005,5509569.508493149,9.737801118579338,0
10.0,0.06,9353406.603802795,109353406.6038028,5559466.182686731,5613631.261164384,9.729836995458442,0
20.0,0.015,9769997.327412592,109769997.32741259,5587921.161224425,5605553.589178082,9.753975298900523,0
20.0,0.028,9559979.288549166,109559979.28854917,5615076.211192146,5635850.766602739,9.742575785881343,0
20.0,0.04,9375048.123091698,109375048.1230917,5687895.876865149,5716295.855753425,9.733156594541923,0
20.0,0.06,9258553.42862467,109258553.42862467,5731907.053406581,5785202.248219178,9.724824314274954,0
