label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
per_lot__init0,per_lot,0.0,,,3032,3362857.5615223986,3362857.5615223986,0,103362857.5615224,0.0027528011764126337,0.5283431936461662,1001801.4356535375,1129554.556890411,183707.63139725968,857331.3843549943,1611,1611,664,0,5064.544520365059,2568.004439797599,1.0,inf,23,552,2244,0.7401055408970977,536,0,0,3154760.0,789828.5603562006,-4.420618960411556
per_lot__init500000,per_lot,500000.0,,,3032,3371060.5698272875,3371060.5698272875,0,103371060.56982729,0.00275941508322175,0.5296292097126338,1001801.4356535375,1129554.556890411,183819.10323287605,859422.6702144889,1610,1610,663,0,5084.555912258354,2588.1243728835666,1.0,inf,23,552,2244,0.7401055408970977,536,0,0,3154760.0,790307.8199208443,-4.419232887385622
per_lot__init1000000,per_lot,1000000.0,,,3032,3380400.145634141,3380400.145634141,0,103380400.14563414,0.002766944793803461,0.5310619435927851,1001801.4356535226,1129554.556890411,183931.86153424604,861803.7141062657,1609,1609,662,0,5106.344630867283,2598.2914366123323,1.0,inf,23,552,2244,0.7401055408970977,536,0,0,3154760.0,790792.6104881266,-4.417691209912426
per_lot__init2000000,per_lot,2000000.0,,,3032,3399855.9649803513,3399855.9649803513,0,103399855.96498035,0.0027826283737686364,0.5339414826474451,1001801.4356535375,1129554.556890411,184162.18569862974,866763.8065956712,1608,1608,662,0,5135.734086073039,2598.2914366123323,1.0,inf,23,552,2244,0.7401055408970977,536,0,0,3154760.0,791782.8611477573,-4.414664723581737
per_lot__init5000000,per_lot,5000000.0,,,3032,3458521.9569114815,3458521.9569114815,0,103458521.95691147,0.002829903390725308,0.541738600540777,1001801.4356535375,1129554.556890411,184854.35567123222,881720.192691937,1608,1608,662,0,5224.353409231847,2598.2914366123323,1.0,inf,23,552,2244,0.7401055408970977,536,0,0,5107050.0,794758.7615435356,-4.406424509072611
per_lot__init10000000,per_lot,10000000.0,,,3032,3555962.0295681804,3555962.0295681804,0,103555962.02956818,0.0029083695696201506,0.5516776397440637,1001801.4356535375,1129554.556890411,186004.00115068443,906561.6945557864,1608,1608,662,0,5371.543851311451,2598.2914366123323,1.0,inf,23,552,2244,0.7401055408970977,536,0,1,10187775.0,799701.5220976253,-4.395749517658926
bulk_yen__init0__yen100000,bulk_yen,0.0,100000.0,,3032,4808860.888674859,4774930.278209105,33930.610465753416,104808860.88867486,0.003911313157845653,0.39354248105151474,2005608.331767127,1908253.841547945,311713.61928766774,1217327.0829116895,1396,46,46,46,103802.83213498055,91145.56939189417,0.7690100430416069,4.743657633215458,245,244,1244,0.4102902374670185,220,0,0,6454120.0,1340174.6965699208,-1.489345816706384
bulk_yen__init0__yen300000,bulk_yen,0.0,300000.0,,3032,6302270.978831652,6268340.368365898,33930.610465753416,106302270.97883165,0.005092523529095061,0.43235043307069715,2704005.8181780875,2418116.8564657527,492889.81747943454,1598059.039760974,1054,23,23,23,272536.53775503905,271228.76514582196,0.7937262357414449,7.62965961196009,435,434,1159,0.38225593667546176,244,0,0,7199920.0,2119119.66853562,-1.000742624688429
bulk_yen__init0__yen500000,bulk_yen,0.0,500000.0,,3032,7201734.48115347,7167803.870687717,33930.610465753416,107201734.48115347,0.005796631962329268,0.4616414258363713,2691049.1326301396,2424306.645753424,584430.4142465559,1827369.462672033,891,16,16,16,447987.7419179823,444210.0929863383,0.8155230596175478,10.720458334021725,423,422,1079,0.3558707124010554,244,0,0,7380360.0,2512687.3021108177,-0.8424786478747313
bulk_yen__init0__yen1000000,bulk_yen,0.0,1000000.0,,3032,9847144.573962491,9813213.963496737,33930.610465753416,109847144.5739625,0.007836530258265029,0.5461374695713719,2488425.387178093,2261044.6413150704,735686.4510684555,2501793.834077131,755,11,11,11,892110.3603178852,858427.7321200079,0.8884462151394422,38.077430086250246,562,561,1284,0.4234828496042216,236,0,0,7877115.0,3162994.1886543534,-0.9598269522571659
