label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
per_lot__init0,per_lot,0.0,,,3032,10482988.566143308,10482988.566143308,0,110482988.5661433,0.008320116000882338,0.3755909768715782,5256961.116209686,5281310.919561644,701290.9357808192,2672547.0630758796,1147,1147,504,0,20799.580488379568,8569.041270520898,1.0,inf,65,552,2314,0.7631926121372031,534,0,17,10773060.0,3015114.8647757256,-4.548084195193372
per_lot__init500000,per_lot,500000.0,,,3032,10491191.574448194,10491191.574448194,0,110491191.5744482,0.008326338039912562,0.37588985919727874,5256961.116209686,5281310.919561644,701402.4076164356,2674638.348935374,1146,1146,503,0,20857.239710632588,8615.972051454153,1.0,inf,65,552,2314,0.7631926121372031,534,0,17,10773060.0,3015594.1243403694,-4.547497016756406
per_lot__init1000000,per_lot,1000000.0,,,3032,10500531.150255049,10500531.150255049,0,110500531.15025505,0.00833342165771378,0.37622906199917505,5256961.116209686,5281310.919561644,701515.1659178055,2677019.3928271504,1145,1145,502,0,20917.392729591727,8634.971144062754,1.0,inf,65,552,2314,0.7631926121372031,534,0,17,10773060.0,3016078.9149076515,-4.546857048859714
per_lot__init2000000,per_lot,2000000.0,,,3032,10519986.969601259,10519986.969601259,0,110519986.96960126,0.008348176195627666,0.37693205637965443,5256961.116209686,5281310.919561644,701745.4900821892,2681979.4853165555,1144,1144,502,0,20956.14934183517,8634.971144062754,1.0,inf,65,552,2314,0.7631926121372031,534,0,17,10773060.0,3017069.165567282,-4.545960271418017
per_lot__init5000000,per_lot,5000000.0,,,3032,10578652.96153239,10578652.96153239,0,110578652.96153238,0.008392651793155625,0.37902159343860936,5256961.116209701,5281310.919561644,702437.6600547918,2696935.8714128216,1144,1144,502,0,21073.013867594393,8634.971144062754,1.0,inf,65,552,2314,0.7631926121372031,534,0,17,10773060.0,3020045.0659630606,-4.543286411730266
per_lot__init10000000,per_lot,10000000.0,,,3032,10676093.034189088,10676093.034189088,0,110676093.03418909,0.008466474835707949,0.3823895115385812,5256961.116209686,5281310.919561644,703587.3055342443,2721777.3732766705,1144,1144,502,0,21267.117597986227,8634.971144062754,1.0,inf,65,552,2314,0.7631926121372031,534,0,18,10773060.0,3024987.8265171503,-4.538947974978335
bulk_yen__init0__yen100000,bulk_yen,0.0,100000.0,,3032,9097564.27374951,9097564.27374951,0,109097564.27374952,0.007263136092020783,0.29310377695300815,4610379.083103135,4596075.667013698,611283.290301369,2399803.9499491365,1178,71,71,71,128134.708080979,103888.76613998285,0.7563667232597623,4.101246622298929,221,220,1353,0.4462401055408971,118,0,110,12848050.0,2628137.968337731,-0.45395093577272494
bulk_yen__init0__yen300000,bulk_yen,0.0,300000.0,,3032,12980100.930280212,12980100.930280212,0,112980100.93028021,0.010194910065205676,0.3847477434224179,5947875.316452056,5785222.411999999,871936.0336438261,3309164.214075956,993,40,40,40,324502.5232570053,303063.84207973303,0.7814702920443102,7.080339967411016,532,531,1391,0.4587730870712401,346,0,143,13347880.0,3748782.6550131924,-1.7376032638230485
bulk_yen__init0__yen500000,bulk_yen,0.0,500000.0,,3032,13850112.866338886,13850112.866338886,0,113850112.86633888,0.010839185255407058,0.3801733153243653,6416929.80742465,6222086.02520548,1073935.2821917562,3530966.215469341,864,29,29,29,477590.09883927193,452239.7336221853,0.8055555555555556,8.244881294686962,535,534,1422,0.46899736147757254,346,0,179,14036500.0,4617253.792875989,-1.9103505151400983
bulk_yen__init0__yen1000000,bulk_yen,0.0,1000000.0,,3032,13678136.651724368,13678136.651724368,0,113678136.65172437,0.010712189481633771,0.32654371335882315,6420234.930217877,6223001.412452055,1532377.4119452038,3487122.3703304324,520,16,16,16,854883.540732773,837451.8298756622,0.8307692307692308,19.016961990780988,549,548,1510,0.4980211081794195,303,0,341,14485400.0,6588269.828496043,-1.8722815159413404
bulk_yen__init0__yen2000000,bulk_yen,0.0,2000000.0,,3032,15800067.653261093,15061593.608302189,738474.044958904,115800067.6532611,0.012266954845571387,0.3439111405535825,6832790.585378185,6223001.412452055,1824554.2878356106,3839822.728903294,347,8,8,8,1882699.2010377736,1899967.7626413684,0.9498525073746312,288.2519529543055,724,723,1551,0.5115435356200527,231,0,426,16031560.0,7844448.67908971,-1.4240527996399088
bulk_yen__init0__yen5000000,bulk_yen,0.0,5000000.0,,3032,22160827.60494756,22160827.60494756,0,122160827.60494757,0.0167758352325742,0.42426265285366777,8580824.215657532,6187813.941561645,2138776.750465736,5649710.896586681,245,5,5,5,4432165.520989512,4327829.959707525,1.0,inf,781,780,1493,0.49241424802110817,231,0,451,19622875.0,9195409.841688653,-1.32381342454299
bulk_yen__init0__yen10000000,bulk_yen,0.0,10000000.0,,3032,30942683.542624097,25546075.99898026,5396607.543643836,130942683.54262409,0.022659427511531494,0.5081500959165388,10214627.919027403,5028299.575246575,2464889.527780851,6512750.629595081,206,3,3,3,8515358.666326754,8280737.440155324,1.0,inf,1508,1507,1155,0.3809366754617414,231,0,447,24389370.0,10597491.962401055,-0.9304932638020187
bulk_yen__init500000__yen100000,bulk_yen,500000.0,100000.0,,3032,9124297.314215517,9124297.314215517,0,109124297.31421551,0.007283647657271075,0.2939181955882871,4610379.083103135,4596075.667013698,612599.0149041088,2406619.3068803907,1176,71,71,71,128511.22977768333,103888.76613998285,0.7551020408163265,4.110349060818303,221,220,1353,0.4462401055408971,118,0,110,12848050.0,2633794.7658311347,-0.45125390865392423
bulk_yen__init500000__yen300000,bulk_yen,500000.0,300000.0,,3032,13326558.78779338,13326558.78779338,0,113326558.78779338,0.010452017832250693,0.39991289869791613,5947875.316452056,5785222.411999999,853142.9426301263,3397490.641576489,1018,41,41,41,325038.0192144727,302970.0914765005,0.8153241650294696,7.309619942623657,454,453,1386,0.4571240105540897,303,0,144,13347880.0,3667984.0517810024,-1.3637210377262574
bulk_yen__init500000__yen500000,bulk_yen,500000.0,500000.0,,3032,13868681.883272847,13868681.883272847,0,113868681.88327284,0.010852887016430612,0.380505291430134,6416929.80742465,6222086.02520548,1075696.11435614,3535700.225370996,866,29,29,29,478230.40976802923,452239.7336221853,0.8071593533487298,8.282672686772958,551,550,1410,0.4650395778364116,346,0,179,14036500.0,4624824.276055409,-1.8981451881108469
bulk_yen__init500000__yen1000000,bulk_yen,500000.0,1000000.0,,3032,13710287.2419834,13710287.2419834,0,113710287.2419834,0.010735944455043667,0.32572922725044134,6420234.930217877,6223001.412452055,1548752.0113972595,3495318.8846193487,521,16,16,16,856892.9526239625,837826.5272478645,0.8042226487523992,20.423464787382517,597,596,1530,0.5046174142480211,346,0,338,14485400.0,6658670.422163588,-2.2341547615253683
