label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
dipB|trail15|monthly|1shot,dip,monthly,False,trail15,10219962.98,0.021996,0.003709,0.170084,2094488.57,0.0218,0.0267,0.0861,16.2473,0.000584,0.9656,0.0598,10000000.0,2,1,True
dipB|trail15|monthly|rot,dip,monthly,True,trail15,10219962.98,0.021996,0.003709,0.170084,2094488.57,0.0218,0.0267,0.0861,16.2473,0.000584,0.9656,0.0598,10000000.0,2,1,True
va96_6|hold|monthly|1shot,value_avg,monthly,False,hold,8662711.6,-0.133729,-0.024131,0.553792,5820236.06,-0.0436,0.0654,0.061,20.5136,0.041611,0.9946,0.5771,10000000.0,27,0,False
va96_6|tp50|monthly|1shot,value_avg,monthly,False,tp50,8662711.6,-0.133729,-0.024131,0.553792,5820236.06,-0.0436,0.0654,0.061,20.5136,0.041611,0.9946,0.5771,10000000.0,27,0,False
va96_6|tp50|monthly|rot,value_avg,monthly,True,tp50,8662711.6,-0.133729,-0.024131,0.553792,5820236.06,-0.0436,0.0654,0.061,20.5136,0.041611,0.9946,0.5771,10000000.0,27,0,False
va96_6|tp100|monthly|1shot,value_avg,monthly,False,tp100,8662711.6,-0.133729,-0.024131,0.553792,5820236.06,-0.0436,0.0654,0.061,20.5136,0.041611,0.9946,0.5771,10000000.0,27,0,False
va96_6|tp100|monthly|rot,value_avg,monthly,True,tp100,8662711.6,-0.133729,-0.024131,0.553792,5820236.06,-0.0436,0.0654,0.061,20.5136,0.041611,0.9946,0.5771,10000000.0,27,0,False
va96_6|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9801597.09,-0.01984,-0.003404,0.077234,774469.17,-0.0441,-0.074,-0.1547,2.2761,0.002608,0.9973,0.0079,1840433.17,9,1,True
va96_6|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9801597.09,-0.01984,-0.003404,0.077234,774469.17,-0.0441,-0.074,-0.1547,2.2761,0.002608,0.9973,0.0079,1840433.17,9,1,True
va96_6|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9801597.09,-0.01984,-0.003404,0.077234,774469.17,-0.0441,-0.074,-0.1547,2.2761,0.002608,0.9973,0.0079,1840433.17,9,1,True
va96_6|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9801597.09,-0.01984,-0.003404,0.077234,774469.17,-0.0441,-0.074,-0.1547,2.2761,0.002608,0.9973,0.0079,1840433.17,9,1,True
va48_0|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9607480.46,-0.039252,-0.00679,0.148013,1487522.55,-0.0459,-0.0693,-0.1429,4.4371,0.005175,0.9973,0.0156,3520924.25,9,1,True
