label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
va48_0|hold|monthly|1shot,value_avg,monthly,False,hold,115336790.25,10.533679,0.225196,0.480456,25168415.03,0.4687,0.7461,0.7527,14.4228,0.050908,0.9281,0.7938,9288537.29,26,0,False
va96_6|hold|monthly|1shot,value_avg,monthly,False,hold,109767775.87,9.976778,0.22017,0.487071,24101836.82,0.452,0.7549,0.7556,13.0259,0.049551,0.9229,0.7224,10000000.0,31,0,False
dipA|hold|monthly|1shot,dip,monthly,False,hold,137905115.01,12.790512,0.243518,0.545976,30279984.74,0.446,0.7236,0.737,18.3806,0.059433,0.9301,0.952,10000000.0,3,0,False
dipB|hold|monthly|1shot,dip,monthly,False,hold,130354856.64,12.035486,0.237716,0.545976,28622165.83,0.4354,0.7261,0.7395,16.3582,0.056795,0.9239,0.9055,10000000.0,4,0,False
lump|hold|monthly|1shot,lump,monthly,False,hold,129280196.72,11.92802,0.236865,0.545976,28386201.51,0.4338,0.7015,0.7134,19.7651,0.061654,0.9473,1.0,10000000.0,1,0,False
dca24|hold|monthly|1shot,dca,monthly,False,hold,116233167.8,10.623317,0.225984,0.545976,25521450.36,0.4139,0.6942,0.7055,18.807,0.059339,0.938,0.928,10000000.0,24,0,False
dca96|hold|monthly|1shot,dca,monthly,False,hold,89991000.75,7.9991,0.200202,0.487071,19759427.56,0.411,0.7097,0.7145,13.6577,0.048847,0.9298,0.707,10000000.0,96,0,False
dca48|hold|monthly|1shot,dca,monthly,False,hold,111484181.09,10.148418,0.221744,0.545976,24478709.89,0.4061,0.7139,0.7229,16.2491,0.054302,0.9321,0.8496,10000000.0,48,0,False
dca48|hold|daily|1shot,dca,daily,False,hold,110215540.59,10.021554,0.220583,0.545976,24200153.03,0.404,0.713,0.722,16.1402,0.054105,0.9321,0.842,10000000.0,1008,0,False
scaled_rsi|hold|monthly|1shot,scaled,monthly,False,hold,71318622.13,6.131862,0.177242,0.470975,15088664.02,0.3763,0.7142,0.7151,11.0953,0.041315,0.9291,0.5664,9926249.67,150,0,False
