label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
trend200|tp100|monthly|1shot,trend,monthly,False,tp100,14789745.57,0.478975,0.031378,0.131212,1315745.92,0.2391,0.3708,0.5165,4.0501,0.009888,0.4471,0.0886,4679487.18,39,1,True
trend200|tp100|monthly|rot,trend,monthly,True,tp100,14789745.57,0.478975,0.031378,0.131212,1315745.92,0.2391,0.3708,0.5165,4.0501,0.009888,0.4471,0.0886,4679487.18,39,1,True
scaled_invvol|tp100|monthly|1shot,scaled,monthly,False,tp100,13325520.27,0.332552,0.022924,0.095908,961653.92,0.239,0.3956,0.5409,2.9338,0.006388,0.4471,0.0617,3310457.76,74,1,True
scaled_invvol|tp100|monthly|rot,scaled,monthly,True,tp100,13325520.27,0.332552,0.022924,0.095908,961653.92,0.239,0.3956,0.5409,2.9338,0.006388,0.4471,0.0617,3310457.76,74,1,True
trend100|tp100|monthly|1shot,trend,monthly,False,tp100,14785478.04,0.478548,0.031355,0.132986,1333529.77,0.2358,0.3909,0.5423,4.1281,0.009363,0.4417,0.0893,4615384.62,35,1,True
trend100|tp100|monthly|rot,trend,monthly,True,tp100,14785478.04,0.478548,0.031355,0.132986,1333529.77,0.2358,0.3909,0.5423,4.1281,0.009363,0.4417,0.0893,4615384.62,35,1,True
dca96|tp100|monthly|1shot,dca,monthly,False,tp100,17620232.07,0.762023,0.045736,0.249295,2504142.81,0.1835,0.3549,0.4982,7.239,0.015716,0.4436,0.1552,7604166.67,73,1,True
dca96|tp100|monthly|rot,dca,monthly,True,tp100,17620232.07,0.762023,0.045736,0.249295,2504142.81,0.1835,0.3549,0.4982,7.239,0.015716,0.4436,0.1552,7604166.67,73,1,True
scaled_rsi|tp100|monthly|1shot,scaled,monthly,False,tp100,14929980.87,0.492998,0.032147,0.183929,1843841.31,0.1748,0.3491,0.489,5.194,0.010915,0.443,0.108,4899628.45,72,1,True
scaled_rsi|tp100|monthly|rot,scaled,monthly,True,tp100,14929980.87,0.492998,0.032147,0.183929,1843841.31,0.1748,0.3491,0.489,5.194,0.010915,0.443,0.108,4899628.45,72,1,True
trend100|trail15|monthly|1shot,trend,monthly,False,trail15,13662173.21,0.366217,0.024941,0.155447,2514630.53,0.1604,0.253,0.3542,11.8502,0.012684,0.9749,0.11,4935897.44,40,1,True
trend100|trail15|monthly|rot,trend,monthly,True,trail15,13662173.21,0.366217,0.024941,0.155447,2514630.53,0.1604,0.253,0.3542,11.8502,0.012684,0.9749,0.11,4935897.44,40,1,True
