label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
dipB|glide12|monthly|1shot,dip,monthly,False,glide12,7407655.91,-0.259234,-0.154996,0.399604,4146874.02,-0.3879,-0.3167,-0.6094,23.0196,0.0428,0.8419,0.1686,10000000.0,3,13,True
va96_6|glide12|monthly|1shot,value_avg,monthly,False,glide12,9539534.12,-0.046047,-0.026111,0.064272,643613.68,-0.4062,-0.5831,-0.969,3.8388,0.005196,0.9755,0.0254,1525808.6,10,12,True
dipB|maexit200|monthly|1shot,dip,monthly,False,maexit200,7275085.06,-0.272491,-0.163517,0.399604,4146874.02,-0.4092,-0.333,-0.6601,23.8669,0.042448,0.8419,0.1607,10000000.0,3,1,True
dipB|maexit200|monthly|rot,dip,monthly,True,maexit200,7275085.06,-0.272491,-0.163517,0.399604,4146874.02,-0.4092,-0.333,-0.6601,23.8669,0.042448,0.8419,0.1607,10000000.0,3,1,True
dipB|maexit200b|monthly|1shot,dip,monthly,False,maexit200b,7275085.06,-0.272491,-0.163517,0.399604,4146874.02,-0.4092,-0.333,-0.6601,23.8669,0.042448,0.8419,0.1607,10000000.0,3,1,True
dipB|maexit200b|monthly|rot,dip,monthly,True,maexit200b,7275085.06,-0.272491,-0.163517,0.399604,4146874.02,-0.4092,-0.333,-0.6601,23.8669,0.042448,0.8419,0.1607,10000000.0,3,1,True
va48_0|glide12|monthly|1shot,value_avg,monthly,False,glide12,9111285.15,-0.088871,-0.050895,0.12342,1237430.6,-0.4124,-0.5729,-0.9502,7.3972,0.010299,0.9755,0.0502,2918411.41,10,12,True
va96_6|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9520468.26,-0.047953,-0.027203,0.064272,643613.68,-0.4233,-0.5995,-1.018,3.9641,0.005196,0.9755,0.0245,1525808.6,10,1,True
va96_6|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9520468.26,-0.047953,-0.027203,0.064272,643613.68,-0.4233,-0.5995,-1.018,3.9641,0.005196,0.9755,0.0245,1525808.6,10,1,True
va96_6|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9520468.26,-0.047953,-0.027203,0.064272,643613.68,-0.4233,-0.5995,-1.018,3.9641,0.005196,0.9755,0.0245,1525808.6,10,1,True
va96_6|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9520468.26,-0.047953,-0.027203,0.064272,643613.68,-0.4233,-0.5995,-1.018,3.9641,0.005196,0.9755,0.0245,1525808.6,10,1,True
mom252|momexit|monthly|rot,momentum,monthly,True,momexit,5915372.7,-0.408463,-0.255224,0.601125,6220352.09,-0.4246,-0.3887,-0.5605,38.3633,0.065673,0.98,0.5612,10000000.0,1,1,False
dca96|glide12|monthly|1shot,dca,monthly,False,glide12,9635890.77,-0.036411,-0.020602,0.048191,482424.17,-0.4275,-0.6445,-1.0742,3.0505,0.003733,0.9755,0.02,1041666.67,10,13,True
va48_0|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9074960.76,-0.092504,-0.053021,0.12342,1237430.6,-0.4296,-0.5898,-0.9997,7.6357,0.010295,0.9755,0.0484,2918411.41,10,1,True
va48_0|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9074960.76,-0.092504,-0.053021,0.12342,1237430.6,-0.4296,-0.5898,-0.9997,7.6357,0.010295,0.9755,0.0484,2918411.41,10,1,True
va48_0|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9074960.76,-0.092504,-0.053021,0.12342,1237430.6,-0.4296,-0.5898,-0.9997,7.6357,0.010295,0.9755,0.0484,2918411.41,10,1,True
va48_0|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9074960.76,-0.092504,-0.053021,0.12342,1237430.6,-0.4296,-0.5898,-0.9997,7.6357,0.010295,0.9755,0.0484,2918411.41,10,1,True
scaled_rsi|glide12|monthly|1shot,scaled,monthly,False,glide12,8156656.56,-0.184334,-0.108058,0.250844,2528281.18,-0.4308,-0.564,-0.9316,15.5148,0.022171,0.9755,0.1122,5656231.6,10,13,True
dca48|glide12|monthly|1shot,dca,monthly,False,glide12,9271781.54,-0.072822,-0.041548,0.09628,964848.33,-0.4315,-0.6343,-1.0558,6.0945,0.007658,0.9755,0.0407,2083333.33,10,13,True
dca48|maexit200|daily|rot,dca,daily,True,maexit200,9329312.22,-0.067069,-0.038215,0.088289,885624.13,-0.4328,-0.6146,-1.0408,5.6573,0.007158,0.9733,0.0359,1984126.98,200,1,True
