label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
dipB|trail15|monthly|1shot,dip,monthly,False,trail15,10219962.98,0.021996,0.00167,0.170084,2094488.57,0.0098,0.012,0.0578,16.6696,0.000259,0.9845,0.027,10000000.0,2,1,True
dipB|trail15|monthly|rot,dip,monthly,True,trail15,10219962.98,0.021996,0.00167,0.170084,2094488.57,0.0098,0.012,0.0578,16.6696,0.000259,0.9845,0.027,10000000.0,2,1,True
va96_6|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9801597.09,-0.01984,-0.001536,0.077234,774469.17,-0.0199,-0.0334,-0.1039,2.2635,6.3e-05,0.9988,0.0036,1840433.17,9,1,True
va96_6|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9801597.09,-0.01984,-0.001536,0.077234,774469.17,-0.0199,-0.0334,-0.1039,2.2635,6.3e-05,0.9988,0.0036,1840433.17,9,1,True
va96_6|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9801597.09,-0.01984,-0.001536,0.077234,774469.17,-0.0199,-0.0334,-0.1039,2.2635,6.3e-05,0.9988,0.0036,1840433.17,9,1,True
va96_6|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9801597.09,-0.01984,-0.001536,0.077234,774469.17,-0.0199,-0.0334,-0.1039,2.2635,6.3e-05,0.9988,0.0036,1840433.17,9,1,True
va48_0|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9607480.46,-0.039252,-0.003067,0.148013,1487522.55,-0.0207,-0.0313,-0.096,4.4182,0.000125,0.9988,0.007,3520924.25,9,1,True
va48_0|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9607480.46,-0.039252,-0.003067,0.148013,1487522.55,-0.0207,-0.0313,-0.096,4.4182,0.000125,0.9988,0.007,3520924.25,9,1,True
va48_0|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9607480.46,-0.039252,-0.003067,0.148013,1487522.55,-0.0207,-0.0313,-0.096,4.4182,0.000125,0.9988,0.007,3520924.25,9,1,True
va48_0|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9607480.46,-0.039252,-0.003067,0.148013,1487522.55,-0.0207,-0.0313,-0.096,4.4182,0.000125,0.9988,0.007,3520924.25,9,1,True
dipB|trail25|monthly|1shot,dip,monthly,False,trail25,8987997.47,-0.1012,-0.008151,0.270126,3326454.08,-0.0302,-0.0162,-0.0814,26.4333,0.000309,0.9845,0.0285,10000000.0,2,1,True
dipB|trail25|monthly|rot,dip,monthly,True,trail25,8987997.47,-0.1012,-0.008151,0.270126,3326454.08,-0.0302,-0.0162,-0.0814,26.4333,0.000309,0.9845,0.0285,10000000.0,2,1,True
scaled_rsi|maexit200|monthly|1shot,scaled,monthly,False,maexit200,9735264.77,-0.026474,-0.002056,0.050395,504597.14,-0.0408,-0.0761,-0.2784,2.7241,4.2e-05,0.9991,0.0024,944157.51,10,1,True
scaled_rsi|maexit200|monthly|rot,scaled,monthly,True,maexit200,9735264.77,-0.026474,-0.002056,0.050395,504597.14,-0.0408,-0.0761,-0.2784,2.7241,4.2e-05,0.9991,0.0024,944157.51,10,1,True
scaled_rsi|maexit200b|monthly|1shot,scaled,monthly,False,maexit200b,9735264.77,-0.026474,-0.002056,0.050395,504597.14,-0.0408,-0.0761,-0.2784,2.7241,4.2e-05,0.9991,0.0024,944157.51,10,1,True
scaled_rsi|maexit200b|monthly|rot,scaled,monthly,True,maexit200b,9735264.77,-0.026474,-0.002056,0.050395,504597.14,-0.0408,-0.0761,-0.2784,2.7241,4.2e-05,0.9991,0.0024,944157.51,10,1,True
