label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
trend100|volx45|monthly|rot,trend,monthly,True,volx45,10327813.79,0.032781,0.001378,0.03414,353949.4,0.0404,0.1316,0.2085,2.1363,0.000982,0.9942,0.0088,9583333.33,141,71,False
scaled_rsi|volx45|monthly|rot,scaled,monthly,True,volx45,10230937.2,0.023094,0.000975,0.033137,331373.85,0.0294,0.1181,0.1639,2.132,0.000855,0.9963,0.0081,11005937.34,288,167,False
scaled_invvol|volx45|monthly|rot,scaled,monthly,True,volx45,10206429.19,0.020643,0.000873,0.029972,299719.55,0.0291,0.1124,0.156,1.9987,0.000753,0.9956,0.0069,6822369.46,288,167,False
dca96|volx45|monthly|rot,dca,monthly,True,volx45,10601296.58,0.06013,0.002496,0.103063,1030632.31,0.0242,0.1034,0.1435,6.5528,0.002613,0.9963,0.0251,30000000.0,288,167,False
dca48|volx45|monthly|rot,dca,monthly,True,volx45,11202593.16,0.120259,0.00486,0.206126,2061264.63,0.0236,0.1072,0.148,12.8314,0.00537,0.9963,0.0521,60000000.0,288,167,False
dca24|volx45|monthly|rot,dca,monthly,True,volx45,12226676.51,0.222668,0.008619,0.412253,4122529.26,0.0209,0.1094,0.1501,24.4762,0.011502,0.9964,0.1144,118309882.68,284,167,False
va96_6|volx45|monthly|rot,value_avg,monthly,True,volx45,10507627.94,0.050763,0.002116,0.103446,1034457.39,0.0205,0.0946,0.1313,6.3773,0.00254,0.9964,0.0247,29735844.63,280,167,False
va48_0|volx45|monthly|rot,value_avg,monthly,True,volx45,10882920.74,0.088292,0.003619,0.199846,1998455.62,0.0181,0.0897,0.1243,12.1793,0.005041,0.9968,0.0496,58328514.44,280,167,False
trend200|hold|daily|1shot,trend,daily,False,hold,11379538.98,0.137954,0.005532,0.727148,9119359.7,0.0076,0.1326,0.1363,33.8645,0.035231,0.992,0.3868,10000000.0,2677,0,False
trend200|hold|monthly|1shot,trend,monthly,False,hold,11303099.29,0.13031,0.005243,0.724112,8904937.97,0.0072,0.1301,0.1337,33.6328,0.034802,0.9924,0.3797,10000000.0,131,0,False
trend200|tp50|monthly|1shot,trend,monthly,False,tp50,11303099.29,0.13031,0.005243,0.724112,8904937.97,0.0072,0.1301,0.1337,33.6328,0.034802,0.9924,0.3797,10000000.0,131,0,False
trend200|tp50|monthly|rot,trend,monthly,True,tp50,11303099.29,0.13031,0.005243,0.724112,8904937.97,0.0072,0.1301,0.1337,33.6328,0.034802,0.9924,0.3797,10000000.0,131,0,False
trend200|tp100|monthly|1shot,trend,monthly,False,tp100,11303099.29,0.13031,0.005243,0.724112,8904937.97,0.0072,0.1301,0.1337,33.6328,0.034802,0.9924,0.3797,10000000.0,131,0,False
trend200|tp100|monthly|rot,trend,monthly,True,tp100,11303099.29,0.13031,0.005243,0.724112,8904937.97,0.0072,0.1301,0.1337,33.6328,0.034802,0.9924,0.3797,10000000.0,131,0,False
trend100|hold|monthly|1shot,trend,monthly,False,hold,11253151.27,0.125315,0.005053,0.727853,8960750.96,0.0069,0.1317,0.1353,34.1736,0.035647,0.9924,0.3901,10000000.0,141,0,False
trend100|tp50|monthly|1shot,trend,monthly,False,tp50,11253151.27,0.125315,0.005053,0.727853,8960750.96,0.0069,0.1317,0.1353,34.1736,0.035647,0.9924,0.3901,10000000.0,141,0,False
trend100|tp50|monthly|rot,trend,monthly,True,tp50,11253151.27,0.125315,0.005053,0.727853,8960750.96,0.0069,0.1317,0.1353,34.1736,0.035647,0.9924,0.3901,10000000.0,141,0,False
trend100|tp100|monthly|1shot,trend,monthly,False,tp100,11253151.27,0.125315,0.005053,0.727853,8960750.96,0.0069,0.1317,0.1353,34.1736,0.035647,0.9924,0.3901,10000000.0,141,0,False
trend100|tp100|monthly|rot,trend,monthly,True,tp100,11253151.27,0.125315,0.005053,0.727853,8960750.96,0.0069,0.1317,0.1353,34.1736,0.035647,0.9924,0.3901,10000000.0,141,0,False
dipB|trail15|monthly|1shot,dip,monthly,False,trail15,10219962.98,0.021996,0.000929,0.170084,2094488.57,0.0055,0.0067,0.0431,16.8207,0.000143,0.9914,0.015,10000000.0,2,1,True
dipB|trail15|monthly|rot,dip,monthly,True,trail15,10219962.98,0.021996,0.000929,0.170084,2094488.57,0.0055,0.0067,0.0431,16.8207,0.000143,0.9914,0.015,10000000.0,2,1,True
scaled_invvol|hold|daily|1shot,scaled,daily,False,hold,10510361.16,0.051036,0.002127,0.533131,6083330.71,0.004,0.0789,0.0817,24.9386,0.02078,0.9929,0.2308,6843318.48,5903,0,False
scaled_invvol|hold|monthly|1shot,scaled,monthly,False,hold,10467905.55,0.046791,0.001954,0.53165,6043397.2,0.0037,0.0774,0.0802,24.9006,0.020681,0.9932,0.2302,6822369.46,288,0,False
scaled_invvol|tp50|monthly|1shot,scaled,monthly,False,tp50,10467905.55,0.046791,0.001954,0.53165,6043397.2,0.0037,0.0774,0.0802,24.9006,0.020681,0.9932,0.2302,6822369.46,288,0,False
scaled_invvol|tp50|monthly|rot,scaled,monthly,True,tp50,10467905.55,0.046791,0.001954,0.53165,6043397.2,0.0037,0.0774,0.0802,24.9006,0.020681,0.9932,0.2302,6822369.46,288,0,False
