combo,n_components,tp_pct,n_trades,n_signals_raw,hit_rate,avg_days_to_tp,avg_win_return,failure_mean,failure_median,avg_mfe,avg_mae,expected_value
DD<=-10 + RET20<-5 + GOLDEN,3,20,2,39,100.0000,208.0000,21.1866,0.0000,0.0000,21.5860,-8.1335,21.1866
DD<=-10 + vsMA75<-5 + GOLDEN,3,20,2,23,100.0000,201.0000,20.8892,0.0000,0.0000,21.2886,-6.6260,20.8892
vsMA75<-5 + GOLDEN,2,20,3,25,100.0000,157.6667,20.1993,0.0000,0.0000,20.9720,-4.6293,20.1993
STREAK>=5 + GOLDEN,2,20,2,32,100.0000,202.5000,19.9782,0.0000,0.0000,20.9992,-7.6029,19.9782
DD<=-10 + STREAK>=5 + GOLDEN,3,20,2,32,100.0000,202.5000,19.9782,0.0000,0.0000,20.9992,-7.6029,19.9782
52W<30 + DD<=-15 + vsMA75<-5,3,20,3,22,66.6667,36.5000,20.7917,7.7235,7.7235,17.8288,-4.3224,16.4356
52W<30 + DD<=-15,2,20,3,26,66.6667,36.5000,20.7917,7.7235,7.7235,17.8288,-4.3224,16.4356
52W<30 + DD<=-10 + DD<=-15,3,20,3,26,66.6667,36.5000,20.7917,7.7235,7.7235,17.8288,-4.3224,16.4356
RSI<40 + 52W<30 + RET5<-3,3,20,4,32,75.0000,80.3333,20.9227,1.6446,1.6446,18.9453,-5.1276,16.1032
RSI<40 + DD<=-15 + RET5<-3,3,20,3,21,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
BB<20 + DD<=-15,2,20,3,22,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
BB<20 + DD<=-10 + DD<=-15,3,20,3,22,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
RSI<40 + DD<=-15 + vsMA75<-5,3,20,3,21,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
RSI<40 + BB<20 + DD<=-15,3,20,3,22,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
RSI<40 + DD<=-15,2,20,3,25,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
DD<=-10 + DD<=-15 + vsMA75<-5,3,20,3,35,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
DD<=-10 + DD<=-15 + RET5<-3,3,20,3,22,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
RSI<40 + DD<=-10 + DD<=-15,3,20,3,25,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
DD<=-15,1,20,3,41,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
DD<=-15 + vsMA75<-5,2,20,3,35,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
DD<=-10 + DD<=-15,2,20,3,41,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
DD<=-15 + RET5<-3,2,20,3,22,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
BB<20 + DD<=-15 + RET5<-3,3,20,3,21,66.6667,119.5000,20.0369,7.7235,7.7235,17.3708,-6.9152,15.9325
52W<30 + DD<=-15 + RET20<-5,3,20,3,21,66.6667,36.5000,20.7917,6.1947,6.1947,18.6683,-3.6133,15.9260
RSI<35 + BB<10 + 52W<30,3,20,4,23,75.0000,80.3333,20.9227,0.8876,0.8876,18.5444,-5.4490,15.9140
